Subject,Drug,Treatment,Trial,Type,TimeNearStimulus,AbsoluteTurnAngle,Speed,Freezing
PC10,pCPA,CTRL,17,0,23.241942369152,17.163167193634,3.87764584616179,4
PC10,pCPA,CTRL,18,1,12.9894643805014,15.3072114192976,2.39315771681863,5
PC10,pCPA,CTRL,19,0,20.5815608819891,9.67932342692997,7.79661132826593,6
PC10,pCPA,CTRL,20,1,26.410822164448,23.9664011428578,8.15163477057401,7
PC11,pCPA,CTRL,1,0,6.96107548979528,29.2122479624104,5.98735618785222,5
PC11,pCPA,CTRL,2,0,0.951443668273254,10.4234847585482,2.0587108915918,7
PC11,pCPA,CTRL,3,0,8.66204886152643,21.452063058328,2.20536524754117,4
PC11,pCPA,CTRL,4,1,31.0787000517133,27.0546997343469,5.6891505777108,7
PC11,pCPA,CTRL,5,0,21.4759678593456,28.9935466545722,4.35582841207461,1
PC11,pCPA,CTRL,6,1,33.2381355389346,10.3353573443707,3.97277022433209,7
PC11,pCPA,CTRL,7,0,7.88251770807734,12.8690578294997,4.22939608072925,0
PC11,pCPA,CTRL,8,1,34.1119274836385,28.2295618475863,5.04456600854405,2
PC11,pCPA,CTRL,9,0,4.00053944987353,12.3191552874155,5.97374396719253,7
PC11,pCPA,CTRL,10,1,37.7366241850927,22.381699673177,6.26220615890045,1
PC11,pCPA,CTRL,11,0,17.1301686550011,17.8490407704567,3.10275194851426,1
PC11,pCPA,CTRL,12,1,13.9265424661861,28.5190192964968,3.53236474269688,4
PC11,pCPA,CTRL,13,0,24.9641040351489,25.8057173750071,1.19859928547751,6
PC11,pCPA,CTRL,14,1,22.2854646386706,21.1224697271945,5.12972768125491,3
PC11,pCPA,CTRL,15,0,1.22656396937738,19.4233901118976,3.38100964266044,1
PC11,pCPA,CTRL,16,1,15.8304691305798,17.4161580383614,7.03753458456995,7
PC11,pCPA,CTRL,17,0,17.9739062264944,18.163781732108,6.57299659793914,0
PC11,pCPA,CTRL,18,1,14.9501218627428,32.233754028899,4.05634774298287,3
PC11,pCPA,CTRL,19,0,27.5322180032514,19.8167242955086,2.89456540546934,1
PC11,pCPA,CTRL,20,1,15.5187623210774,32.6700765011533,1.88881204628524,0
PC12,pCPA,CTRL,1,0,19.4218245177865,20.9092387582611,6.42237767780561,10
PC12,pCPA,CTRL,2,0,26.0561954100555,10.8093392720103,8.40123864979077,7
PC12,pCPA,CTRL,3,0,7.87801676363661,30.6227075123931,7.63669724079799,6
PC12,pCPA,CTRL,4,1,29.0850113488298,25.3780224620199,2.79636699590615,4
PC12,pCPA,CTRL,5,0,24.179594248023,24.2800842802429,4.54020104391705,1
PC12,pCPA,CTRL,6,1,17.53979406955,26.2017998002326,4.82759356009302,5
PC12,pCPA,CTRL,7,0,6.74815671253242,24.2673764381338,1.76513285715476,9
PC12,pCPA,CTRL,8,1,20.9149467372069,31.9978522657282,5.64167356573812,6
PC12,pCPA,CTRL,9,0,18.9025213536896,24.4734573620906,8.53940306769691,5
PC12,pCPA,CTRL,10,1,11.7444355609704,14.7223447095238,1.16008365505607,7
PC12,pCPA,CTRL,11,0,7.75463330798694,22.6423605144801,3.01061730591092,4
PC12,pCPA,CTRL,12,1,37.6000871294056,16.2397543570298,5.46007420980841,3
PC12,pCPA,CTRL,13,0,23.1770473659908,16.3046469466326,2.50124682220931,6
PC12,pCPA,CTRL,14,1,26.6268408779618,16.6202290135397,5.80657448401809,3
PC12,pCPA,CTRL,15,0,8.53786441848611,19.1646476829314,3.48488131039722,9
PC12,pCPA,CTRL,16,1,24.1421441844592,22.4994345763213,3.01194788773706,7
PC12,pCPA,CTRL,17,0,25.3874457977343,18.3057019648033,8.62771838427927,8
PC12,pCPA,CTRL,18,1,12.0784546790212,15.8413845769322,6.59030075528404,10
PC12,pCPA,CTRL,19,0,5.45621377839658,27.8615584879441,5.70683169784895,4
PC12,pCPA,CTRL,20,1,20.4587629426055,19.3186370017837,1.39405593041555,1
PS1,pCPA,SA,1,0,9.776716,29.2655588888889,10.1504769736842,1
PS1,pCPA,SA,2,0,0.125,20.7286049107143,4.25335657142857,0
PS1,pCPA,SA,3,0,0.233333,24.40436068,3.57770462068965,8
PS1,pCPA,SA,4,1,35.4816288248199,29.141473025,3.91955550877193,1
PS1,pCPA,SA,5,0,3.442856,22.8345587380952,4.40211621568627,0
PS1,pCPA,SA,6,1,45.0445972903811,34.669156975,3.91848571153846,0
PS1,pCPA,SA,7,0,19.833334,25.8591020869565,4.05630763333333,0
PS1,pCPA,SA,8,1,52.9886541630653,18.5297752444444,4.21865420689655,0
PS1,pCPA,SA,9,0,15.433333,25.7750263478261,3.98877695,0
PS1,pCPA,SA,10,1,35.8786257202794,19.55296418,3.7318170862069,0
PS1,pCPA,SA,11,0,25.33908,24.6075365087719,3.45983152542373,1
PS1,pCPA,SA,12,1,54.6424856389909,19.3648232962963,3.95623896363636,0
PS1,pCPA,SA,13,0,19.6,18.4026896206896,3.90267884482759,0
PS1,pCPA,SA,14,1,54.4358594482563,23.8247241186441,4.00357285,1
PS1,pCPA,SA,15,0,18.53833,16.6049734561404,4.27715619298246,0
PS1,pCPA,SA,16,1,33.9177854744971,22.3553107407407,4.5948826,0
PS1,pCPA,SA,17,0,11.914286,20.6202149473684,4.51692920689655,1
PS1,pCPA,SA,18,1,58.1425789663584,27.9984576226415,4.96167212068965,0
PS1,pCPA,SA,19,0,,19.8263995357143,4.70334726666667,0
PS1,pCPA,SA,20,1,39.2586001509459,18.8220622446809,,0
PS2,pCPA,SA,2,0,7.97567411843199,26.224662653112,3.78784502863814,3
PS2,pCPA,SA,3,0,9.23768778189751,13.5628715943866,5.04500180053558,0
PS2,pCPA,SA,4,1,40.2341036745416,24.6207630560277,9.21812687305254,3
PS2,pCPA,SA,5,0,4.04468074249189,13.9268742823226,4.44688521260074,1
PS2,pCPA,SA,6,1,58.8965588152942,12.4760394033733,9.7344726539007,3
PS2,pCPA,SA,7,0,0.330541219019895,13.9931457397905,3.83455203696542,1
PS2,pCPA,SA,8,1,42.2396891576581,21.8461269451068,1.58630348660342,1
PS2,pCPA,SA,9,0,9.69961987440557,27.5406790602378,10.6190141021582,1
PS2,pCPA,SA,10,1,49.5725009281545,30.6688398526753,1.71686414050966,0
PS2,pCPA,SA,11,0,7.10583127367841,20.86176398535,10.4286839726873,2
PS2,pCPA,SA,12,1,46.6569158820774,15.5449062102524,6.24216880813737,1
PS2,pCPA,SA,13,0,6.57255163797061,26.6271887611697,7.34538033070848,1
PS2,pCPA,SA,14,1,45.7100860189805,25.4320276320917,3.36746931870369,3
PS2,pCPA,SA,15,0,5.32105509672564,16.2414632282476,9.38580495502896,3
PS2,pCPA,SA,16,1,55.3040649906997,15.852351373387,3.05640836875857,1
PS2,pCPA,SA,17,0,7.02176022991627,17.2585343669702,5.56303628969208,2
PS2,pCPA,SA,18,1,35.8790551327412,10.138044510271,7.22589846093036,2
PS2,pCPA,SA,19,0,1.35377188184335,10.0089396216847,4.48020403980561,3
PS2,pCPA,SA,20,1,49.0420310480773,10.2770732867878,10.9275613916944,2
PS3,pCPA,SA,1,0,10.8410870662818,26.2544540938155,1.35235032789196,0
PS3,pCPA,SA,2,0,8.23432779123576,23.5220203158318,6.35186469086409,2
PS3,pCPA,SA,3,0,7.69142617981751,12.2525792803393,3.64387726786059,1
PS3,pCPA,SA,4,1,51.487861760233,24.2033567357436,3.03189438411258,0
PS3,pCPA,SA,5,0,6.67444335066585,23.4486584827881,5.88598527534479,1
PS3,pCPA,SA,6,1,31.5942081739909,18.9931290581892,4.19556783403353,1
PS3,pCPA,SA,7,0,8.59589118439656,29.946919511375,2.47497967921713,1
PS3,pCPA,SA,8,1,37.2091563366377,13.9343257754388,9.20098032737208,0
PS3,pCPA,SA,9,0,6.31049424238627,21.1587687808969,2.35386194498584,2
PS3,pCPA,SA,10,1,37.6759129700663,27.1527530283207,2.59752360833568,0
PS3,pCPA,SA,11,0,7.94696121548237,28.465045902627,2.16932601609945,2
PS3,pCPA,SA,12,1,47.4522984341205,29.4010099618602,3.00605021175542,2
PS3,pCPA,SA,13,0,10.0529504534821,27.709495532653,4.05109042977089,3
PS3,pCPA,SA,14,1,48.9824135432534,14.9167610525555,1.42702558350535,3
PS3,pCPA,SA,15,0,9.96543099912904,19.1643065260479,7.80336584912176,1
